time,val_gpu_util,val_cpu_util,val_gpu_mem,val_main_mem,val_loss
0.19048833847045898,0.1,0.37,0.711,0.888,-0.04235940799117088
0.17603850364685059,0.32,0.22,0.425,0.888,-0.0485074520111084
0.18350911140441895,0.49,0.37,0.413,0.888,-0.04434268921613693
0.1880040168762207,0.01,0.37,0.40399999999999997,0.888,-0.04539649933576584
0.8936252593994141,0.34,0.19,0.53,0.8859999999999999,-0.04538900405168533
0.17453289031982422,0.38,0.26,0.705,0.89,-0.12918677926063538
0.17752528190612793,0.43,0.32,0.515,0.89,-0.13196629285812378
0.17403960227966309,0.01,0.37,0.413,0.8909999999999999,-0.12831640243530273
0.2014603614807129,0.09,0.39,0.47200000000000003,0.89,-0.14052122831344604
0.1077125072479248,0.11,0.09,0.359,0.89,-0.15154336392879486
0.17553114891052246,0.13,0.1,0.716,0.89,-0.19383595883846283
0.1795189380645752,0.01,0.02,0.51,0.889,-0.19085650146007538
0.1795189380645752,0.28,0.22,0.447,0.889,-0.19111429154872894
0.19449400901794434,0.48,0.33,0.446,0.888,-0.19005361199378967
0.10571813583374023,0.01,0.02,0.401,0.888,-0.17379075288772583
0.19150757789611816,0.16,0.11,0.8759999999999999,0.894,-0.175766259431839
0.19846534729003906,0.56,0.38,0.524,0.894,-0.1809079945087433
0.2014765739440918,0.34,0.24,0.539,0.894,-0.18126241862773895
0.19547605514526367,0.24,0.17,0.523,0.893,-0.19331805408000946
0.11668825149536133,0.11,0.09,0.425,0.894,-0.20484764873981476
0.17553043365478516,0.28,0.2,0.67,0.878,-0.21585609018802643
0.17253947257995605,0.38,0.29,0.46,0.878,-0.24779178202152252
0.18949341773986816,0.47,0.36,0.473,0.878,-0.20911581814289093
0.1909933090209961,0.02,0.41,0.42100000000000004,0.878,-0.2309180647134781
0.13414812088012695,0.01,0.02,0.382,0.879,-0.20294751226902008
