time,train_gpu_util,train_cpu_util,train_gpu_mem,train_main_mem,train_loss
3.266890525817871,0.83,0.41,0.34600000000000003,0.8809999999999999,-0.22375072538852692
0.2044534683227539,0.82,0.57,0.632,0.882,-0.1707698553800583
0.18605852127075195,0.67,0.46,0.58,0.883,-0.1654960662126541
0.19050216674804688,0.56,0.42,0.622,0.882,-0.18184436857700348
0.1825113296508789,0.55,0.38,0.55,0.883,-0.21023407578468323
0.18949174880981445,0.8,0.55,0.632,0.8809999999999999,-0.1807595193386078
0.18999981880187988,0.36,0.7,0.601,0.88,-0.216782346367836
0.19902253150939941,0.37,0.27,0.605,0.8809999999999999,-0.21089933812618256
0.18251323699951172,0.45,0.34,0.643,0.879,-0.2245400846004486
0.19747090339660645,0.59,0.41,0.6890000000000001,0.879,-0.21649891138076782
0.19248652458190918,0.68,0.48,0.625,0.879,-0.22727258503437042
0.17752671241760254,0.51,0.7,0.596,0.878,-0.23475034534931183
0.17453289031982422,0.4,0.28,0.627,0.879,-0.238596573472023
0.2069544792175293,0.37,0.26,0.607,0.879,-0.2470167577266693
0.17753839492797852,0.44,0.31,0.601,0.879,-0.24514825642108917
1.4656665325164795,0.92,0.71,0.36,0.878,-0.20599310100078583
0.20847749710083008,0.64,0.45,0.6679999999999999,0.887,-0.26875370740890503
0.22043275833129883,0.25,0.65,0.8140000000000001,0.887,-0.22945889830589294
0.2039797306060791,0.3,0.68,0.753,0.885,-0.2623707056045532
0.2014601230621338,0.29,0.63,0.6759999999999999,0.885,-0.1972135305404663
0.2069718837738037,0.85,0.59,0.6890000000000001,0.884,-0.27615365386009216
0.20749950408935547,0.71,0.49,0.746,0.884,-0.24225376546382904
0.19946527481079102,0.8,0.55,0.737,0.884,-0.3094959557056427
0.20896697044372559,0.73,0.51,0.804,0.884,-0.2892458736896515
0.20348238945007324,0.85,0.6,0.6990000000000001,0.884,-0.2475402057170868
0.2179276943206787,0.41,0.64,0.593,0.884,-0.2676464915275574
0.18849587440490723,0.23,0.68,0.596,0.884,-0.24546487629413605
0.1905050277709961,0.26,0.19,0.59,0.884,-0.29468873143196106
